Stock Price;Strike Price;Maturity;Dividends;Volatility;Risk free;Call Price
0.05;1965;03/31/17;0;0.281087;2391;74254.0
404.3;1970;03/31/17;0;0.285146;0;64095.0
0.05;1970;03/31/17;0;0.281087;3609;61607.0
399.3;1975;03/31/17;0;0.285146;15;60201.0
0.05;1975;03/31/17;0;0.281087;9954;87030.0
394.3;1980;03/31/17;0;0.285146;0;100141.0
0.05;1980;03/31/17;0;0.281087;488;66280.0
389.1;1985;03/31/17;0;0.285146;1;70332.0
0.05;1985;03/31/17;0;0.281087;195;72235.0
384.3;1990;03/31/17;0;0.285146;0;55931.0
0.05;1990;03/31/17;0;0.281087;494;60208.0
379.3;1995;03/31/17;0;0.285146;0;84347.0
0.05;1995;03/31/17;0;0.281087;963;79027.0
374.3;2000;03/31/17;0;0.285146;376;77504.0
0.05;2000;03/31/17;0;0.281087;11334;69577.0
369.3;2005;03/31/17;0;0.285146;700;105346.0
0.05;2005;03/31/17;0;0.281087;166;71303.0
364.3;2010;03/31/17;0;0.285146;702;70276.0
0.05;2010;03/31/17;0;0.281087;377;88233.0
359.1;2015;03/31/17;0;0.285146;967;79408.0
0.05;2015;03/31/17;0;0.281087;823;88461.0
354.3;2020;03/31/17;0;0.285146;794;94641.0
0.05;2020;03/31/17;0;0.281087;957;90745.0
349.3;2025;03/31/17;0;0.285146;324;75499.0
0.05;2025;03/31/17;0;0.281087;6354;71838.0
344.3;2030;03/31/17;0;0.285146;0;78240.0
0.05;2030;03/31/17;0;0.281087;793;95015.0
339.1;2035;03/31/17;0;0.285146;0;86833.0
0.05;2035;03/31/17;0;0.281087;106;108121.0
334.3;2040;03/31/17;0;0.285146;2200;94199.0
0.05;2040;03/31/17;0;0.281087;9877;86310.0
329.3;2045;03/31/17;0;0.285146;2204;141507.0
0.05;2045;03/31/17;0;0.281087;654;166580.0
324.3;2050;03/31/17;0;0.285146;57;189560.0
0.05;2050;03/31/17;0;0.281087;18443;142519.0
319.1;2055;03/31/17;0;0.285146;4;128603.0
0.05;2055;03/31/17;0;0.281087;7941;81604.0
314.1;2060;03/31/17;0;0.285146;4;66941.0
0.05;2060;03/31/17;0;0.281087;1885;68551.0
309.3;2065;03/31/17;0;0.285146;0;96242.0
0.05;2065;03/31/17;0;0.281087;1131;99515.0
304.3;2070;03/31/17;0;0.285146;4;79774.0
0.05;2070;03/31/17;0;0.281087;642;110446.0
299.3;2075;03/31/17;0;0.285146;1011;72333.0
0.05;2075;03/31/17;0;0.281087;9086;73116.0
294.3;2080;03/31/17;0;0.285146;0;91002.0
0.05;2080;03/31/17;0;0.281087;12512;127476.0
289.3;2085;03/31/17;0;0.285146;0;95057.0
0.05;2085;03/31/17;0;0.281087;592;145357.0
284.1;2090;03/31/17;0;0.285146;0;129949.0
